student_id,competition_id,rank,score
1,1,1,95.5
2,1,2,89.0
3,1,3,85.75
4,2,1,99.0
5,2,2,92.25
6,2,3,88.0
7,3,1,96.5
8,3,2,90.0
9,3,3,87.5
10,4,1,98.0
11,4,2,93.25
12,4,3,89.75
13,5,1,97.5
14,5,2,94.0
15,5,3,91.25
16,6,1,96.75
17,6,2,92.5
18,6,3,89.0
19,7,1,99.5
20,7,2,95.25
21,7,3,92.75
22,8,1,94.0
23,8,2,90.5
24,8,3,87.0
25,9,1,98.5
26,9,2,94.75
27,9,3,91.5
28,10,1,97.0
29,10,2,93.5
30,10,3,90.25
31,11,1,95.25
32,11,2,91.75
33,11,3,89.25
34,12,1,98.75
35,12,2,95.0
36,12,3,92.0
37,13,1,99.0
38,13,2,94.5
39,13,3,90.75
40,14,1,96.25
41,14,2,91.5
42,14,3,88.25
